2025-09-16 18:40:01 [Logger/constructor] [info]: Logger initialized successfully at .\core_logger\core_logger.log
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: === ITHACA PLUGIN STARTING ===
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: Plugin initialized
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: Default sample directory: C:\Users\jindr\AppData\Roaming\IthacaPlayer\instrument
[2025-09-16 18:40:06] [IthacaPluginProcessor/setStateInformation] [info]: Plugin state loaded
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: === PREPARING AUDIO PROCESSING ===
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: Sample rate: 48000.000000 Hz
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: Buffer size: 480 samples
[2025-09-16 18:40:06] [IthacaPluginProcessor/initializeSampler] [info]: Initializing IthacaCore sampler...
[2025-09-16 18:40:06] [EnvelopeStaticData/initialize] [info]: Starting global envelope generation for all sample rates
[2025-09-16 18:40:06] [EnvelopeStaticData/generateEnvelopeForSampleRate] [info]: Generating envelopes for 44100 Hz
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[15] begin: [0.000000, 0.000080, 0.000160, 0.000240]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899984, 0.899992, 0.900000, 0.900008]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989998, 0.989998, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[15] begin: [1.000000, 0.999920, 0.999840, 0.999760]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100016, 0.100008, 0.100000, 0.099992]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010002, 0.010002, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[16] begin: [0.000000, 0.000075, 0.000150, 0.000225]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899985, 0.899993, 0.900000, 0.900007]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989998, 0.989999, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[16] begin: [1.000000, 0.999925, 0.999850, 0.999775]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100015, 0.100007, 0.100000, 0.099992]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010002, 0.010001, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[17] begin: [0.000000, 0.000071, 0.000141, 0.000212]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899986, 0.899993, 0.900000, 0.900007]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989998, 0.989999, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[17] begin: [1.000000, 0.999929, 0.999859, 0.999788]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100014, 0.100007, 0.100000, 0.099993]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010002, 0.010001, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[18] begin: [0.000000, 0.000067, 0.000133, 0.000200]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899990, 0.899997, 0.900003, 0.900010]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989998, 0.989999, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[18] begin: [1.000000, 0.999933, 0.999867, 0.999800]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100010, 0.100003, 0.099997, 0.099990]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010002, 0.010001, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[19] begin: [0.000000, 0.000063, 0.000126, 0.000189]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899991, 0.899997, 0.900003, 0.900009]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989998, 0.989999, 0.989999, 0.990000]
